sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1895,1016.0,1024.9821406888466,1026.0380355563846,1025.9972104096942,1110.2531971115463,1026.0311111111112
1896,1014.0,1025.0445826736532,1026.0380355563846,1026.0019524516376,1110.2419404725247,1026.0311111111112
1897,1015.0,1025.1202730531086,1026.0380355563846,1026.0094322840598,1110.2241353625877,1026.0311111111112
1898,1014.0,1025.2038359030546,1026.0380355563846,1026.018316386052,1110.2032169400222,1026.0311111111112
1899,1011.0,1025.2901769952684,1026.0380355563846,1026.0273248605945,1110.1825339278987,1026.0311111111112
1900,1010.0,1025.3746995358554,1026.0380355563846,1026.035372546224,1110.1649002663878,1026.0311111111112
1901,1010.0,1025.4534685541396,1026.0380355563846,1026.0416643734193,1110.1522876939543,1026.0311111111112
1902,1008.0,1025.5233222414179,1026.0380355563846,1026.0457412330684,1110.1456804656834,1026.0311111111112
1903,1005.0,1025.5819313625411,1026.0380355563846,1026.0474790303479,1110.1450878997478,1026.0311111111112
1904,1006.0,1025.627810280052,1026.0380355563846,1026.0470486481065,1110.149689347308,1026.0311111111112
1905,1005.0,1025.6602850722304,1026.0380355563846,1026.044847868012,1110.1580717497689,1026.0311111111112
1906,1008.0,1025.6794256564149,1026.0380355563846,1026.0414177866278,1110.1685131685863,1026.0311111111112
1907,1012.0,1025.6859497406833,1026.0380355563846,1026.0373560412831,1110.179266332569,1026.0311111111112
1908,1012.0,1025.6811068400236,1026.0380355563846,1026.0332375314651,1110.1888031390774,1026.0311111111112
1909,1011.0,1025.6665505492517,1026.0380355563846,1026.0295507052165,1110.1959922845112,1026.0311111111112
1910,1009.0,1025.6442068231836,1026.0380355563846,1026.02665434377,1110.2001955855212,1026.0311111111112
1911,1006.0,1025.6161452462331,1026.0380355563846,1026.024756573474,1110.2012819193876,1026.0311111111112
1912,1005.0,1025.5844592571596,1026.0380355563846,1026.0239149484332,1110.199569221387,1026.0311111111112
1913,1002.0,1025.5511601110777,1026.0380355563846,1026.0240541665362,1110.1957133218996,1026.0311111111112
1914,1002.0,1025.5180880891435,1026.0380355563846,1026.0249964745094,1110.190566911607,1026.0311111111112
1915,1000.0,1025.4868431801167,1026.0380355563846,1026.0264991350753,1110.1850325446705,1026.0311111111112
1916,1000.0,1025.4587362224252,1026.0380355563846,1026.0282934170655,1110.179930824291,1026.0311111111112
1917,1001.0,1025.4347603649153,1026.0380355563846,1026.030120291884,1110.1758996516126,1026.0311111111112
1918,1001.0,1025.415581721767,1026.0380355563846,1026.0317591890996,1110.1733337573469,1026.0311111111112
1919,1003.0,1025.401547292045,1026.0380355563846,1026.033047570493,1110.1723668031857,1026.0311111111112
1920,1003.0,1025.3927076045713,1026.0380355563846,1026.0338905221913,1110.1728921326435,1026.0311111111112
1921,1003.0,1025.388851139963,1026.0380355563846,1026.0342608643434,1110.174613514801,1026.0311111111112
1922,1003.0,1025.389547368875,1026.0380355563846,1026.0341913076613,1110.1771143912442,1026.0311111111112
1923,1003.0,1025.3941952148111,1026.0380355563846,1026.033760869328,1110.179933311141,1026.0311111111112
1924,1000.0,1025.4020738801482,1026.0380355563846,1026.0330780735592,1110.182634234346,1026.0311111111112
1925,998.0,1025.4123932387913,1026.0380355563846,1026.0322634281401,1110.1848627875731,1026.0311111111112
1926,1000.0,1025.4243413683873,1026.0380355563846,1026.0314333478846,1110.1863828311066,1026.0311111111112
1927,1001.0,1025.4371272380197,1026.0380355563846,1026.0306871733228,1110.1870912523739,1026.0311111111112
1928,1000.0,1025.450017052827,1026.0380355563846,1026.0300983021614,1110.1870122147018,1026.0311111111112
1929,1001.0,1025.462363255859,1026.0380355563846,1026.029709803646,1110.1862747355353,1026.0311111111112
1930,999.0,1025.4736256734454,1026.0380355563846,1026.0295343004923,1110.1850791837064,1026.0311111111112
1931,1000.0,1025.4833847411242,1026.0380355563846,1026.02955743803,1110.18365897332,1026.0311111111112
1932,1004.0,1025.491347144912,1026.0380355563846,1026.0297439505503,1110.1822434518108,1026.0311111111112
1933,1005.0,1025.4973445444457,1026.0380355563846,1026.0300451915546,1110.1810269155044,1026.0311111111112
1934,1005.0,1025.501326302149,1026.0380355563846,1026.0304070074096,1110.1801471018362,1026.0311111111112
1935,1003.0,1025.5033473226306,1026.0380355563846,1026.0307769759322,1110.1796746994767,1026.0311111111112
1936,1005.0,1025.5035522097887,1026.0380355563846,1026.0311102649976,1110.1796136685962,1026.0311111111112
