,observed,trend,seasonal,residual
180,998.0,1028.8224999999998,-19.224599815359944,-11.597900184639819
181,997.0,1028.8349999999998,-19.657728906087137,-12.177271093912672
182,997.0,1028.8249999999996,-20.310857996814427,-11.514142003185164
183,996.0,1028.8024999999998,-19.961209309763923,-12.841290690235859
184,996.0,1028.7724999999998,-19.83211617826899,-12.94038382173082
185,994.0,1028.7274999999995,-18.367467491218456,-16.360032508781053
186,993.0,1028.6674999999998,-16.566985470834656,-19.100514529165135
187,995.0,1028.6099999999997,-12.432059006006327,-21.177940993993346
188,994.0,1028.5575,-8.96407698562251,-25.59342301437738
189,995.0,1028.5124999999998,-4.386650520794184,-29.125849479205634
190,1000.0,1028.47,1.4104981662562328,-29.88049816625626
191,1003.0,1028.4150000000002,8.095702408862277,-33.51070240886247
192,1005.0,1028.3550000000002,14.336184429246066,-37.69118442924631
193,1007.0,1028.2925000000002,17.687499782963243,-38.97999978296349
194,1008.0,1028.2250000000001,22.039648470013766,-42.2646484700139
195,1008.0,1028.16,22.94874160150868,-43.10874160150876
196,1008.0,1028.1125,21.85700139967029,-41.96950139967024
197,1007.0,1028.0825,19.318038975609724,-40.400538975609706
198,1008.0,1028.075,15.10990988488246,-35.18490988488251
199,1005.0,1028.1049999999998,9.232058571933011,-32.3370585719328
200,1009.0,1028.1724999999997,-5.219068413741554,-13.95343158625812
201,1010.0,1028.2675,-1.005728787125884,-17.261771212874045
202,1011.0,1028.3899999999996,3.7592775061564563,-21.149277506156103
203,1015.0,1028.5374999999997,10.076783799438742,-23.614283799438425
204,1019.0,1028.6899999999998,16.615123426054396,-26.305123426054223
205,1019.0,1028.8324999999998,20.599018608225613,-30.431518608225367
206,1020.0,1028.9699999999998,23.362080457063506,-32.332080457063306
207,1020.0,1029.1174999999996,22.570142305901435,-31.687642305901043
208,1018.0,1029.2874999999997,18.444870821405978,-29.73237082140566
209,1017.0,1029.4799999999998,11.430432670243839,-23.91043267024363
210,1018.0,1029.6924999999999,2.859605630192867,-14.552105630192749
211,1017.0,1029.925,-3.82372140985811,-9.101278590141845
212,1017.0,1030.1750000000002,-11.286492894353556,-1.8885071056466263
213,1017.0,1030.4525,-16.528986601071214,3.076486601071114
214,1017.0,1030.7575000000002,-19.328146974455578,5.570646974455414
215,1018.0,1031.0800000000002,-20.794251792284328,7.714251792284173
216,1019.0,1031.4125,-19.92757883233535,7.5150788323354405
217,1022.0,1031.745,-18.61590587238632,8.87090587238643
218,1022.0,1032.0800000000002,-17.414232912437356,7.334232912437201
219,1020.0,1032.4125,-16.211726619155044,3.799226619155135
220,1017.0,1032.745,-16.56449810365045,0.8194981036505595
221,1018.0,1033.08,-16.250602921479253,1.1706029214793254
222,1019.0,1033.4150000000002,-16.713929961530226,2.2989299615300354
223,1022.0,1033.7625000000003,-16.288923668247946,4.5264236682476735
224,1024.0,1034.1275000000003,-15.753917374965583,5.6264173749653015
225,1028.0,1034.4925000000003,-14.77391108168325,8.28141108168296
226,1032.0,1034.8075000000001,-14.678071455067618,11.8705714550675
227,1037.0,1035.0225000000005,-13.685009606229798,15.662509606229307
228,1037.0,1035.0800000000002,-13.233336646280721,15.153336646280566
229,1036.0,1034.9250000000002,-12.205552575220638,13.280552575220456
230,1035.0,1034.5175000000002,-12.041657393049457,12.524157393049302
231,1039.0,1033.8300000000002,-9.961095544211558,15.131095544211403
232,1038.0,1032.8575,-8.073033695373628,13.215533695373555
233,1036.0,1031.6150000000002,-5.601082957646874,9.986082957646637
234,1035.0,1030.1525,-3.663021108808927,8.510521108809009
235,1033.0,1028.565,0.17615185114000598,4.25884814885994
236,1031.0,1026.9875,4.12393592220016,-0.11143592220011467
237,1033.0,1025.5449999999998,10.165331104371385,-2.71033110437123
238,1032.0,1024.345,16.62200406432038,-8.967004064320406
239,1033.0,1023.4649999999999,23.152288135380438,-13.617288135380356
240,1032.0,1022.925,26.86590553977392,-17.790905539773874
241,1033.0,1022.6799999999998,29.656745166389527,-19.336745166389363
242,1033.0,1022.6624999999999,29.19841812633856,-18.86091812633847
243,1030.0,1022.7924999999999,24.499813308509765,-17.29231330850967
